,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,3,0,3.0,0.0,19.99733368884149,0.0
1,214,9,182.0,23.0,343.64813000818975,4.205607476635514
2,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
3,250,1,236.0,13.0,380.40170419963476,0.4
4,951,48,766.0,137.0,557.7745324019496,5.047318611987381
5,1034708,43366,0.0,991342.0,1848.4454384999606,4.191134117064912
6,13,0,13.0,0.0,373.2414585127763,0.0
7,805,0,692.0,113.0,2389.362144192811,0.0
8,357,25,329.0,3.0,419.84194185718314,7.002801120448179
9,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
10,43388,791,0.0,42597.0,2305.9098639455788,1.8230847238867889
11,2,0,2.0,0.0,,
12,74355,3040,0.0,71315.0,1360.9906100708365,4.088494385044719
13,707,6,695.0,6.0,1826.0240714912961,0.8486562942008486
14,0,0,0.0,0.0,,
15,60912,2041,0.0,58871.0,1940.7379086216786,3.35073548726031
16,3,0,3.0,0.0,19.99733368884149,0.0
17,214,9,182.0,23.0,343.64813000818975,4.205607476635514
18,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
19,253,1,236.0,16.0,384.96652465003035,0.3952569169960474
20,972,48,766.0,158.0,570.0913201836961,4.938271604938271
21,1053330,43826,0.0,1009504.0,1881.7125543971474,4.160709369333446
22,13,0,13.0,0.0,373.2414585127763,0.0
23,814,0,702.0,112.0,2416.07550978006,0.0
24,359,25,329.0,5.0,422.19399755386206,6.9637883008356525
25,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
26,43902,802,0.0,43100.0,2333.2270408163267,1.826796045738235
27,2,0,2.0,0.0,,
28,75187,3079,0.0,72108.0,1376.2195010341736,4.095122827084468
29,711,6,695.0,10.0,1836.3551836355184,0.8438818565400844
30,0,0,0.0,0.0,,
31,61356,2063,0.0,59293.0,1954.8843433377936,3.3623443510007167
32,3,0,3.0,0.0,19.99733368884149,0.0
33,214,9,182.0,23.0,343.64813000818975,4.205607476635514
34,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
35,253,1,236.0,16.0,384.96652465003035,0.3952569169960474
36,986,48,766.0,172.0,578.3025120381938,4.8681541582150105
37,1073300,44304,0.0,1028996.0,1917.3877936016806,4.127830056834063
38,14,0,13.0,1.0,401.95233993683604,0.0
39,842,1,712.0,129.0,2499.183758273723,0.1187648456057007
40,361,25,329.0,7.0,424.546053250541,6.925207756232688
41,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
42,44693,810,0.0,43883.0,2375.265731292517,1.81236435235943
43,2,0,2.0,0.0,,
44,76448,3143,0.0,73305.0,1399.3007889004816,4.1112913352867295
45,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
46,0,0,0.0,0.0,,
47,62284,2108,0.0,60176.0,1984.4516663480533,3.3844968210134225
48,3,0,3.0,0.0,19.99733368884149,0.0
49,220,9,188.0,23.0,353.2831243074848,4.090909090909091
50,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
51,253,1,236.0,16.0,384.96652465003035,0.3952569169960474
52,1003,48,766.0,189.0,588.2732450043695,4.7856430707876365
53,1104143,44773,0.0,1059370.0,1972.4870125694033,4.0550001222667715
54,14,0,13.0,1.0,401.95233993683604,0.0
55,864,1,719.0,144.0,2564.4830963758873,0.11574074074074076
56,363,25,329.0,9.0,426.89810894721984,6.887052341597795
57,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
58,45241,825,0.0,44416.0,2404.389880952381,1.823567118321876
59,2,0,2.0,0.0,,
60,77660,3188,0.0,74472.0,1421.4851829480353,4.1050733968580975
61,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
62,0,0,0.0,0.0,,
63,63151,2142,0.0,61009.0,2012.07544765182,3.391870279172143
64,3,0,3.0,0.0,19.99733368884149,0.0
65,222,9,189.0,24.0,356.4947890739165,4.0540540540540535
66,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
67,253,1,236.0,16.0,384.96652465003035,0.3952569169960474
68,1003,48,813.0,142.0,588.2732450043695,4.7856430707876365
69,1128683,45053,0.0,1083630.0,2016.3262899894958,3.991643357789565
70,15,0,13.0,2.0,430.66322136089576,0.0
71,876,1,729.0,146.0,2600.100917158885,0.1141552511415525
72,363,25,329.0,9.0,426.89810894721984,6.887052341597795
73,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
74,45848,836,0.0,45012.0,2436.649659863945,1.8234165067178505
75,2,0,2.0,0.0,,
76,79017,3244,0.0,75773.0,1446.3236505408813,4.105445663591379
77,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
78,0,0,0.0,0.0,,
79,63948,2171,0.0,61777.0,2037.468935194036,3.3949458935385
80,3,0,3.0,0.0,19.99733368884149,0.0
81,222,9,189.0,24.0,356.4947890739165,4.0540540540540535
82,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
83,254,1,240.0,13.0,386.488131466829,0.3937007874015748
84,1003,48,815.0,140.0,588.2732450043695,4.7856430707876365
85,1152981,45449,0.0,1107532.0,2059.7332485369047,3.9418689466695462
86,15,0,13.0,2.0,430.66322136089576,0.0
87,887,1,742.0,144.0,2632.750586209967,0.11273957158962795
88,363,25,329.0,9.0,426.89810894721984,6.887052341597795
89,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
90,46359,846,0.0,45513.0,2463.807397959184,1.82488837119006
91,2,0,2.0,0.0,,
92,80135,3280,0.0,76855.0,1466.7874727728665,4.093092905721595
93,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
94,0,0,0.0,0.0,,
95,64881,2191,0.0,62690.0,2067.1955649015486,3.376951649943744
96,3,0,3.0,0.0,19.99733368884149,0.0
97,222,9,189.0,24.0,356.4947890739165,4.0540540540540535
98,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
99,254,1,240.0,13.0,386.488131466829,0.3937007874015748
100,1003,48,816.0,139.0,588.2732450043695,4.7856430707876365
101,1174979,45592,0.0,1129387.0,2099.031391352193,3.8802395617283367
102,15,0,13.0,2.0,430.66322136089576,0.0
103,902,1,754.0,147.0,2677.272862188715,0.11086474501108648
104,363,25,329.0,9.0,426.89810894721984,6.887052341597795
105,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
106,46831,855,0.0,45976.0,2488.892431972789,1.8257137366274483
107,2,0,2.0,0.0,,
108,81294,3280,0.0,78014.0,1488.0017571797266,4.034738111053707
109,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
110,0,0,0.0,0.0,,
111,66214,2207,0.0,64007.0,2109.6667303893455,3.3331319660494763
112,3,0,3.0,0.0,19.99733368884149,0.0
113,223,9,189.0,25.0,358.1006214571323,4.0358744394618835
114,71,1,70.0,0.0,234.8116545953633,1.4084507042253518
115,257,2,240.0,15.0,391.05295191722456,0.7782101167315175
116,1046,48,816.0,182.0,613.4933342717552,4.588910133843212
117,1194402,45783,0.0,1148619.0,2133.7294469891312,3.833131558721436
118,15,0,13.0,2.0,430.66322136089576,0.0
119,907,1,768.0,138.0,2692.1136208482976,0.11025358324145534
